time_s,time_h,moisture_0_cm,moisture_0.5_cm,moisture_1_cm,moisture_1.5_cm,moisture_2_cm,maximum_moisture,maximum_radius_cm
1020.000000,0.2833333333,2.5499999849,2.5499938959,2.5482919415,2.4693443679,1.7974973663,2.5499999849,0.00000000
1080.000000,0.3000000000,2.5499999571,2.5499884396,2.5476453750,2.4591430835,1.7824911086,2.5499999571,0.00000000
1140.000000,0.3166666667,2.5499998901,2.5499794163,2.5468497498,2.4486826070,1.7683126971,2.5499998901,0.00000000
1200.000000,0.3333333333,2.5499997425,2.5499652329,2.5458919385,2.4380023399,1.7548413209,2.5499997425,0.00000000
1260.000000,0.3500000000,2.5499994409,2.5499438849,2.5447602645,2.4271397250,1.7419733947,2.5499994409,0.00000000
1320.000000,0.3666666667,2.5499988640,2.5499129317,2.5434446049,2.4161305014,1.7297403907,2.5499988640,0.00000000
1380.000000,0.3833333333,2.5499978216,2.5498694844,2.5419364013,2.4050002333,1.7181358534,2.5499978216,0.00000000
1440.000000,0.4000000000,2.5499960295,2.5498102052,2.5402283427,2.3937734449,1.7069987816,2.5499960295,0.00000000
1500.000000,0.4166666667,2.5499930808,2.5497313145,2.5383145247,2.3824768852,1.6962509592,2.5499930808,0.00000000
1560.000000,0.4333333333,2.5499884134,2.5496286111,2.5361906293,2.3711384279,1.6859261317,2.5499884134,0.00000000
1620.000000,0.4500000000,2.5499812754,2.5494975074,2.5338538951,2.3597766257,1.6760021079,2.5499812754,0.00000000
1680.000000,0.4666666667,2.5499706905,2.5493330708,2.5313026444,2.3484101117,1.6664389746,2.5499706905,0.00000000
1740.000000,0.4833333333,2.5499554231,2.5491300660,2.5285364219,2.3370522953,1.6573269706,2.5499554231,0.00000000
1800.000000,0.5000000000,2.5499339455,2.5488830040,2.5255554614,2.3257078622,1.6486168228,2.5499339455,0.00000000
1860.000000,0.5166666667,2.5499044083,2.5485861757,2.5223603300,2.3143849631,1.6402431670,2.5499044083,0.00000000
1920.000000,0.5333333333,2.5498646123,2.5482336829,2.5189523401,2.3030937834,1.6321063623,2.5498646123,0.00000000
1980.000000,0.5500000000,2.5498119855,2.5478194874,2.5153338140,2.2918525774,1.6241788062,2.5498119855,0.00000000
2040.000000,0.5666666667,2.5497435655,2.5473374814,2.5115085074,2.2806729464,1.6165250376,2.5497435655,0.00000000
2100.000000,0.5833333333,2.5496559924,2.5467815633,2.5074806075,2.2695604766,1.6090894309,2.5496559924,0.00000000
2160.000000,0.6000000000,2.5495455088,2.5461456694,2.5032546200,2.2585245864,1.6018505295,2.5495455088,0.00000000
2220.000000,0.6166666667,2.5494079640,2.5454238188,2.4988358236,2.2475716650,1.5948738223,2.5494079640,0.00000000
2280.000000,0.6333333333,2.5492388277,2.5446101701,2.4942296469,2.2367013501,1.5881012925,2.5492388277,0.00000000
2340.000000,0.6500000000,2.5490332102,2.5436990303,2.4894413786,2.2259185927,1.5815235692,2.5490332102,0.00000000
2400.000000,0.6666666667,2.5487858833,2.5426848760,2.4844767210,2.2152231011,1.5751425775,2.5487858833,0.00000000
2460.000000,0.6833333333,2.5484913085,2.5415623821,2.4793412081,2.2046193413,1.5689472502,2.5484913085,0.00000000
2520.000000,0.7000000000,2.5481436685,2.5403264370,2.4740407953,2.1941074906,1.5629269523,2.5481436685,0.00000000
2580.000000,0.7166666667,2.5477369039,2.5389721748,2.4685812485,2.1836923587,1.5569886026,2.5477369039,0.00000000
2640.000000,0.7333333333,2.5472647537,2.5374949915,2.4629692150,2.1733829788,1.5512039303,2.5472647537,0.00000000
2700.000000,0.7500000000,2.5467208044,2.5358906484,2.4572117548,2.1631751721,1.5455880885,2.5467208044,0.00000000
2760.000000,0.7666666667,2.5460985556,2.5341552485,2.4513147764,2.1530694207,1.5400391630,2.5460985556,0.00000000
2820.000000,0.7833333333,2.5453914585,2.5322851672,2.4452848351,2.1430748763,1.5345506808,2.5453914585,0.00000000
2880.000000,0.8000000000,2.5445929576,2.5302771858,2.4391296340,2.1331941582,1.5291992387,2.5445929576,0.00000000
2940.000000,0.8166666667,2.5436965727,2.5281285632,2.4328562108,2.1234213264,1.5239389107,2.5436965727,0.00000000
3000.000000,0.8333333333,2.5426959635,2.5258369097,2.4264708844,2.1137620524,1.5187066743,2.5426959635,0.00000000
3060.000000,0.8500000000,2.5415849545,2.5234002102,2.4199810934,2.1042170770,1.5135704286,2.5415849545,0.00000000
3120.000000,0.8666666667,2.5403575972,2.5208169285,2.4133938578,2.0947842106,1.5085745511,2.5403575972,0.00000000
3180.000000,0.8833333333,2.5390082344,2.5180859222,2.4067150725,2.0854503114,1.5037320241,2.5390082344,0.00000000
3240.000000,0.9000000000,2.5375315151,2.5152062389,2.3999487766,2.0762141481,1.4989440213,2.5375315151,0.00000000
3300.000000,0.9166666667,2.5359223490,2.5121770420,2.3931000294,2.0670781423,1.4942284258,2.5359223490,0.00000000
3360.000000,0.9333333333,2.5341759171,2.5089978221,2.3861742561,2.0580428681,1.4895360341,2.5341759171,0.00000000
3420.000000,0.9500000000,2.5322877439,2.5056684261,2.3791771177,2.0491134094,1.4848797228,2.5322877439,0.00000000
3480.000000,0.9666666667,2.5302537521,2.5021891308,2.3721148159,2.0402893103,1.4802406134,2.5302537521,0.00000000
3540.000000,0.9833333333,2.5280703297,2.4985606557,2.3649932429,2.0315742224,1.4756149912,2.5280703297,0.00000000
3600.000000,1.0000000000,2.5257343656,2.4947841561,2.3578187998,2.0229652377,1.4710909583,2.5257343656,0.00000000
3660.000000,1.0166666667,2.5232432912,2.4908612091,2.3505961717,2.0144496060,1.4666543785,2.5232432912,0.00000000
3720.000000,1.0333333333,2.5205950545,2.4867934469,2.3433283351,2.0060265314,1.4622474334,2.5205950545,0.00000000
3780.000000,1.0500000000,2.5177879836,2.4825825269,2.3360193321,1.9976949632,1.4579150458,2.5177879836,0.00000000
3840.000000,1.0666666667,2.5148207735,2.4782303489,2.3286728423,1.9894509545,1.4536106603,2.5148207735,0.00000000
3900.000000,1.0833333333,2.5116925244,2.4737389573,2.3212922187,1.9812961474,1.4493125977,2.5116925244,0.00000000
3960.000000,1.1000000000,2.5084027235,2.4691105943,2.3138815829,1.9732319931,1.4450459873,2.5084027235,0.00000000
4020.000000,1.1166666667,2.5049512813,2.4643478333,2.3064450598,1.9652574353,1.4407742950,2.5049512813,0.00000000
4080.000000,1.1333333333,2.5013385797,2.4594535244,2.2989866824,1.9573746419,1.4364771370,2.5013385797,0.00000000
4140.000000,1.1500000000,2.4975654710,2.4544308303,2.2915111510,1.9495841697,1.4322397328,2.4975654710,0.00000000
4200.000000,1.1666666667,2.4936333116,2.4492832905,2.2840222792,1.9418759290,1.4280441953,2.4936333116,0.00000000
4260.000000,1.1833333333,2.4895439524,2.4440144716,2.2765220829,1.9342479361,1.4238653725,2.4895439524,0.00000000
4320.000000,1.2000000000,2.4852995604,2.4386278448,2.2690130968,1.9266950959,1.4197772613,2.4852995604,0.00000000
4380.000000,1.2166666667,2.4809025453,2.4331268874,2.2614964971,1.9192097499,1.4156804665,2.4809025453,0.00000000
4440.000000,1.2333333333,2.4763554996,2.4275148365,2.2539736652,1.9118014884,1.4115215746,2.4763554996,0.00000000
4500.000000,1.2500000000,2.4716611167,2.4217951287,2.2464489798,1.9044736784,1.4073950287,2.4716611167,0.00000000
4560.000000,1.2666666667,2.4668224266,2.4159717858,2.2389257514,1.8972183910,1.4033163764,2.4668224266,0.00000000
4620.000000,1.2833333333,2.4618429239,2.4100488716,2.2314052702,1.8900302208,1.3992813875,2.4618429239,0.00000000
4680.000000,1.3000000000,2.4567263431,2.4040301977,2.2238881970,1.8829022871,1.3952931587,2.4567263431,0.00000000
4740.000000,1.3166666667,2.4514764639,2.3979192836,2.2163747511,1.8758348265,1.3913238657,2.4514764639,0.00000000
4800.000000,1.3333333333,2.4460970092,2.3917194908,2.2088660217,1.8688260880,1.3873572862,2.4460970092,0.00000000
4860.000000,1.3500000000,2.4405916969,2.3854341871,2.2013630236,1.8618784102,1.3833581273,2.4405916969,0.00000000
4920.000000,1.3666666667,2.4349643003,2.3790668097,2.1938679870,1.8549951511,1.3793936293,2.4349643003,0.00000000
4980.000000,1.3833333333,2.4292187485,2.3726210965,2.1863829016,1.8481700786,1.3754166195,2.4292187485,0.00000000
5040.000000,1.4000000000,2.4233592083,2.3661007745,2.1789090510,1.8414103998,1.3713701731,2.4233592083,0.00000000
5100.000000,1.4166666667,2.4173899667,2.3595097363,2.1714501402,1.8347172052,1.3673362086,2.4173899667,0.00000000
5160.000000,1.4333333333,2.4113155787,2.3528523498,2.1640085793,1.8280820555,1.3633785163,2.4113155787,0.00000000
5220.000000,1.4500000000,2.4051409190,2.3461328323,2.1565839581,1.8214914370,1.3594579355,2.4051409190,0.00000000
5280.000000,1.4666666667,2.3988708243,2.3393546439,2.1491747003,1.8149484096,1.3554791868,2.3988708243,0.00000000
5340.000000,1.4833333333,2.3925097240,2.3325208649,2.1417823463,1.8084588270,1.3515264808,2.3925097240,0.00000000
5400.000000,1.5000000000,2.3860618410,2.3256349633,2.1344086650,1.8020169527,1.3475652928,2.3860618410,0.00000000
5460.000000,1.5166666667,2.3795315145,2.3187004194,2.1270540408,1.7956238274,1.3436420607,2.3795315145,0.00000000
5520.000000,1.5333333333,2.3729230909,2.3117205770,2.1197190766,1.7892715172,1.3397502791,2.3729230909,0.00000000
5580.000000,1.5500000000,2.3662408543,2.3046985212,2.1124029538,1.7829619268,1.3358124854,2.3662408543,0.00000000
5640.000000,1.5666666667,2.3594888736,2.2976370805,2.1051067503,1.7766977401,1.3318775877,2.3594888736,0.00000000
5700.000000,1.5833333333,2.3526710841,2.2905393003,2.0978317994,1.7704778738,1.3279631631,2.3526710841,0.00000000
5760.000000,1.6000000000,2.3457914808,2.2834082940,2.0905784508,1.7642962358,1.3240669823,2.3457914808,0.00000000
5820.000000,1.6166666667,2.3388540590,2.2762468875,2.0833464073,1.7581560212,1.3201100036,2.3388540590,0.00000000
5880.000000,1.6333333333,2.3318626369,2.2690578064,2.0761373876,1.7520613756,1.3161577147,2.3318626369,0.00000000
5940.000000,1.6500000000,2.3248209991,2.2618441400,2.0689532154,1.7460070806,1.3122778683,2.3248209991,0.00000000
6000.000000,1.6666666667,2.3177330906,2.2546089512,2.0617926880,1.7399775768,1.3084788010,2.3177330906,0.00000000
6060.000000,1.6833333333,2.3106027296,2.2473543565,2.0546524387,1.7339741256,1.3046442473,2.3106027296,0.00000000
6120.000000,1.7000000000,2.3034330768,2.2400817884,2.0475323999,1.7280058234,1.3007414471,2.3034330768,0.00000000
6180.000000,1.7166666667,2.2962268180,2.2327930955,2.0404349576,1.7220788683,1.2968768100,2.2962268180,0.00000000
6240.000000,1.7333333333,2.2889867663,2.2254907750,2.0333614343,1.7161817649,1.2930552681,2.2889867663,0.00000000
6300.000000,1.7500000000,2.2817160374,2.2181770560,2.0263101654,1.7103147549,1.2892098922,2.2817160374,0.00000000
6360.000000,1.7666666667,2.2744175718,2.2108536671,2.0192815800,1.7044815967,1.2853186852,2.2744175718,0.00000000
6420.000000,1.7833333333,2.2670940691,2.2035225522,2.0122771558,1.6986860210,1.2814015793,2.2670940691,0.00000000
6480.000000,1.8000000000,2.2597482827,2.1961859984,2.0052989170,1.6929290578,1.2774523644,2.2597482827,0.00000000
6540.000000,1.8166666667,2.2523831849,2.1888465717,1.9983485060,1.6872075128,1.2735825813,2.2523831849,0.00000000
6600.000000,1.8333333333,2.2450019490,2.1815068037,1.9914252951,1.6815072550,1.2697302620,2.2450019490,0.00000000
6660.000000,1.8500000000,2.2376076563,2.1741684112,1.9845269066,1.6758336704,1.2658236845,2.2376076563,0.00000000
6720.000000,1.8666666667,2.2302028255,2.1668327146,1.9776547934,1.6701930070,1.2619120848,2.2302028255,0.00000000
6780.000000,1.8833333333,2.2227897249,2.1595015937,1.9708104693,1.6645811120,1.2580354946,2.2227897249,0.00000000
6840.000000,1.9000000000,2.2153707932,2.1521769660,1.9639933001,1.6589924653,1.2541471503,2.2153707932,0.00000000
6900.000000,1.9166666667,2.2079484231,2.1448602701,1.9572026912,1.6534306290,1.2502952662,2.2079484231,0.00000000
6960.000000,1.9333333333,2.2005247293,2.1375528603,1.9504385613,1.6478867966,1.2464891176,2.2005247293,0.00000000
7020.000000,1.9500000000,2.1931016587,2.1302557601,1.9436987171,1.6423618020,1.2426582519,2.1931016587,0.00000000
7080.000000,1.9666666667,2.1856807857,2.1229695408,1.9369829722,1.6368603600,1.2388005849,2.1856807857,0.00000000
7140.000000,1.9833333333,2.1782633912,2.1156950149,1.9302924158,1.6313869085,1.2349477565,2.1782633912,0.00000000
7200.000000,2.0000000000,2.1708508251,2.1084333916,1.9236281610,1.6259381440,1.2310909219,2.1708508251,0.00000000
7260.000000,2.0166666667,2.1634446595,2.1011859196,1.9169899393,1.6205126284,1.2272387447,2.1634446595,0.00000000
7320.000000,2.0333333333,2.1560464896,2.0939536215,1.9103776520,1.6151105891,1.2233467262,2.1560464896,0.00000000
7380.000000,2.0500000000,2.1486577969,2.0867374803,1.9037922588,1.6097383478,1.2194589560,2.1486577969,0.00000000
7440.000000,2.0666666667,2.1412800547,2.0795388456,1.8972354118,1.6043907119,1.2155652434,2.1412800547,0.00000000
7500.000000,2.0833333333,2.1339149447,2.0723591282,1.8907070079,1.5990681205,1.2116933784,2.1339149447,0.00000000
7560.000000,2.1000000000,2.1265641627,2.0651995319,1.8842070697,1.5937638742,1.2078444506,2.1265641627,0.00000000
7620.000000,2.1166666667,2.1192292802,2.0580609431,1.8777342064,1.5884789233,1.2039587386,2.1192292802,0.00000000
7680.000000,2.1333333333,2.1119115590,2.0509439320,1.8712887504,1.5832171380,1.2000740585,2.1119115590,0.00000000
7740.000000,2.1500000000,2.1046120574,2.0438493131,1.8648715460,1.5779770289,1.1962321478,2.1046120574,0.00000000
7800.000000,2.1666666667,2.0973318963,2.0367779694,1.8584818171,1.5727513719,1.1923809677,2.0973318963,0.00000000
7860.000000,2.1833333333,2.0900721418,2.0297302952,1.8521181815,1.5675439659,1.1885685405,2.0900721418,0.00000000
7920.000000,2.2000000000,2.0828335408,2.0227065162,1.8457801298,1.5623474206,1.1847865212,2.0828335408,0.00000000
7980.000000,2.2166666667,2.0756166384,2.0157065880,1.8394657130,1.5571671920,1.1809524423,2.0756166384,0.00000000
8040.000000,2.2333333333,2.0684216737,2.0087303320,1.8331760430,1.5520094549,1.1771270080,2.0684216737,0.00000000
8100.000000,2.2500000000,2.0612488675,2.0017781683,1.8269121290,1.5468716266,1.1732945163,2.0612488675,0.00000000
8160.000000,2.2666666667,2.0540987354,1.9948506303,1.8206743969,1.5417576552,1.1694913271,2.0540987354,0.00000000
8220.000000,2.2833333333,2.0469719460,1.9879483744,1.8144629462,1.5366556804,1.1657189593,2.0469719460,0.00000000
8280.000000,2.3000000000,2.0398692412,1.9810716039,1.8082754389,1.5315699102,1.1619442466,2.0398692412,0.00000000
8340.000000,2.3166666667,2.0327910115,1.9742201461,1.8021121760,1.5265013730,1.1581316402,2.0327910115,0.00000000
8400.000000,2.3333333333,2.0257374461,1.9673940955,1.7959739210,1.5214579870,1.1543136255,2.0257374461,0.00000000
8460.000000,2.3500000000,2.0187088356,1.9605939963,1.7898624163,1.5164342359,1.1505306493,2.0187088356,0.00000000
8520.000000,2.3666666667,2.0117057915,1.9538205008,1.7837766714,1.5114258656,1.1467811571,2.0117057915,0.00000000
8580.000000,2.3833333333,2.0047289407,1.9470737466,1.7777151994,1.5064284991,1.1430344739,2.0047289407,0.00000000
8640.000000,2.4000000000,1.9977785914,1.9403534359,1.7716768623,1.5014484350,1.1392688830,1.9977785914,0.00000000
8700.000000,2.4166666667,1.9908547160,1.9336593759,1.7656629188,1.4964896162,1.1354783714,1.9908547160,0.00000000
8760.000000,2.4333333333,1.9839573505,1.9269918972,1.7596746351,1.4915533588,1.1316893728,1.9839573505,0.00000000
8820.000000,2.4500000000,1.9770868399,1.9203515872,1.7537127404,1.4866366340,1.1279113755,1.9770868399,0.00000000
8880.000000,2.4666666667,1.9702437519,1.9137389588,1.7477766211,1.4817351781,1.1241643821,1.9702437519,0.00000000
8940.000000,2.4833333333,1.9634286103,1.9071541526,1.7418654111,1.4768505372,1.1203787518,1.9634286103,0.00000000
9000.000000,2.5000000000,1.9566417055,1.9005972069,1.7359798132,1.4719864974,1.1166460663,1.9566417055,0.00000000
9060.000000,2.5166666667,1.9498832768,1.8940684600,1.7301195865,1.4671305216,1.1130010675,1.9498832768,0.00000000
9120.000000,2.5333333333,1.9431536115,1.8875676909,1.7242813755,1.4622829431,1.1092941987,1.9431536115,0.00000000
9180.000000,2.5500000000,1.9364525277,1.8810940440,1.7184654126,1.4574571655,1.1055527028,1.9364525277,0.00000000
9240.000000,2.5666666667,1.9297795542,1.8746474389,1.7126739041,1.4526502292,1.1018246704,1.9297795542,0.00000000
9300.000000,2.5833333333,1.9231346270,1.8682282168,1.7069069461,1.4478637914,1.0981268765,1.9231346270,0.00000000
9360.000000,2.6000000000,1.9165179539,1.8618366658,1.7011646584,1.4430912407,1.0944302178,1.9165179539,0.00000000
9420.000000,2.6166666667,1.9099298061,1.8554728312,1.6954459061,1.4383353339,1.0907433556,1.9099298061,0.00000000
9480.000000,2.6333333333,1.9033702787,1.8491365917,1.6897507657,1.4335926764,1.0870968009,1.9033702787,0.00000000
9540.000000,2.6500000000,1.8968393656,1.8428277784,1.6840779958,1.4288619566,1.0834571031,1.8968393656,0.00000000
9600.000000,2.6666666667,1.8903369089,1.8365459416,1.6784269402,1.4241460304,1.0797841919,1.8903369089,0.00000000
9660.000000,2.6833333333,1.8838625782,1.8302907358,1.6727986805,1.4194526124,1.0761332145,1.8838625782,0.00000000
9720.000000,2.7000000000,1.8774161534,1.8240623881,1.6671942201,1.4147727528,1.0724751586,1.8774161534,0.00000000
9780.000000,2.7166666667,1.8709977374,1.8178609788,1.6616124541,1.4101132847,1.0687794772,1.8709977374,0.00000000
9840.000000,2.7333333333,1.8646073746,1.8116865558,1.6560554041,1.4054766763,1.0651233917,1.8646073746,0.00000000
9900.000000,2.7500000000,1.8582452635,1.8055397060,1.6505233125,1.4008537303,1.0614815141,1.8582452635,0.00000000
9960.000000,2.7666666667,1.8519118206,1.7994205885,1.6450145079,1.3962441577,1.0578835463,1.8519118206,0.00000000
10020.000000,2.7833333333,1.8456072016,1.7933289303,1.6395280432,1.3916438922,1.0543061877,1.8456072016,0.00000000
10080.000000,2.8000000000,1.8393312530,1.7872642061,1.6340623549,1.3870552154,1.0507105683,1.8393312530,0.00000000
10140.000000,2.8166666667,1.8330835275,1.7812257811,1.6286180194,1.3824854420,1.0471314415,1.8330835275,0.00000000
10200.000000,2.8333333333,1.8268635510,1.7752135513,1.6231957814,1.3779287237,1.0435487890,1.8268635510,0.00000000
10260.000000,2.8500000000,1.8206711178,1.7692273901,1.6177950437,1.3733915855,1.0399321287,1.8206711178,0.00000000
10320.000000,2.8666666667,1.8145060551,1.7632672661,1.6124171843,1.3688729211,1.0363428756,1.8145060551,0.00000000
10380.000000,2.8833333333,1.8083683713,1.7573334367,1.6070623558,1.3643719728,1.0327797506,1.8083683713,0.00000000
10440.000000,2.9000000000,1.8022582265,1.7514260571,1.6017298927,1.3598815921,1.0292150209,1.8022582265,0.00000000
10500.000000,2.9166666667,1.7961757143,1.7455448673,1.5964188438,1.3554109118,1.0255952036,1.7961757143,0.00000000
10560.000000,2.9333333333,1.7901206864,1.7396898067,1.5911314587,1.3509618199,1.0220287547,1.7901206864,0.00000000
10620.000000,2.9500000000,1.7840932080,1.7338614013,1.5858679393,1.3465252448,1.0185298384,1.7840932080,0.00000000
10680.000000,2.9666666667,1.7780935933,1.7280597078,1.5806256580,1.3420936035,1.0150795033,1.7780935933,0.00000000
10740.000000,2.9833333333,1.7721218042,1.7222839100,1.5754022254,1.3376709892,1.0116055499,1.7721218042,0.00000000
10800.000000,3.0000000000,1.7661772147,1.7165330491,1.5701977869,1.3332627944,1.0081217682,1.7661772147,0.00000000
10860.000000,3.0166666667,1.7602590580,1.7108066346,1.5650128794,1.3288688465,1.0046571009,1.7602590580,0.00000000
10920.000000,3.0333333333,1.7543667871,1.7051043641,1.5598473160,1.3244901572,1.0011746991,1.7543667871,0.00000000
10980.000000,3.0500000000,1.7485000033,1.6994259770,1.5547017720,1.3201320425,0.9976736346,1.7485000033,0.00000000
11040.000000,3.0666666667,1.7426584595,1.6937716122,1.5495779743,1.3157952060,0.9942106837,1.7426584595,0.00000000
11100.000000,3.0833333333,1.7368422526,1.6881417422,1.5444760648,1.3114720880,0.9907643257,1.7368422526,0.00000000
11160.000000,3.1000000000,1.7310516746,1.6825364459,1.5393946484,1.3071632464,0.9873086121,1.7310516746,0.00000000
11220.000000,3.1166666667,1.7252867874,1.6769554990,1.5343340830,1.3028736210,0.9838052633,1.7252867874,0.00000000
11280.000000,3.1333333333,1.7195475225,1.6713990270,1.5292958291,1.2986043502,0.9803651940,1.7195475225,0.00000000
11340.000000,3.1500000000,1.7138340204,1.6658674587,1.5242797604,1.2943467113,0.9769467352,1.7138340204,0.00000000
11400.000000,3.1666666667,1.7081465417,1.6603607626,1.5192844132,1.2901035928,0.9735478991,1.7081465417,0.00000000
11460.000000,3.1833333333,1.7024850721,1.6548786814,1.5143094707,1.2858703390,0.9701469538,1.7024850721,0.00000000
11520.000000,3.2000000000,1.6968494212,1.6494208262,1.5093541627,1.2816550485,0.9667012246,1.6968494212,0.00000000
11580.000000,3.2166666667,1.6912392555,1.6439870312,1.5044203942,1.2774591012,0.9632993337,1.6912392555,0.00000000
11640.000000,3.2333333333,1.6856544793,1.6385776190,1.4995077717,1.2732733485,0.9599091040,1.6856544793,0.00000000
11700.000000,3.2500000000,1.6800951799,1.6331923927,1.4946149622,1.2691047107,0.9564857905,1.6800951799,0.00000000
11760.000000,3.2666666667,1.6745612021,1.6278311731,1.4897433953,1.2649533636,0.9531209685,1.6745612021,0.00000000
11820.000000,3.2833333333,1.6690524795,1.6224941568,1.4848926003,1.2608119437,0.9498196491,1.6690524795,0.00000000
11880.000000,3.3000000000,1.6635690397,1.6171810729,1.4800604643,1.2566787875,0.9464841642,1.6635690397,0.00000000
11940.000000,3.3166666667,1.6581105861,1.6118912113,1.4752467802,1.2525636331,0.9431243705,1.6581105861,0.00000000
12000.000000,3.3333333333,1.6526766095,1.6066243680,1.4704533569,1.2484654713,0.9398051193,1.6526766095,0.00000000
12060.000000,3.3500000000,1.6472669144,1.6013807115,1.4656794624,1.2443767377,0.9365544102,1.6472669144,0.00000000
12120.000000,3.3666666667,1.6418814433,1.5961598637,1.4609229778,1.2402966355,0.9332735201,1.6418814433,0.00000000
12180.000000,3.3833333333,1.6365198076,1.5909610590,1.4561836934,1.2362335871,0.9299438304,1.6365198076,0.00000000
12240.000000,3.4000000000,1.6311814274,1.5857840214,1.4514637538,1.2321928639,0.9266082258,1.6311814274,0.00000000
12300.000000,3.4166666667,1.6258660800,1.5806291955,1.4467649430,1.2281730524,0.9233022991,1.6258660800,0.00000000
12360.000000,3.4333333333,1.6205740455,1.5754971968,1.4420873648,1.2241688210,0.9200055613,1.6205740455,0.00000000
12420.000000,3.4500000000,1.6153057696,1.5703882871,1.4374301653,1.2201783391,0.9167411932,1.6153057696,0.00000000
12480.000000,3.4666666667,1.6100615040,1.5653023957,1.4327922103,1.2161966814,0.9134968185,1.6100615040,0.00000000
12540.000000,3.4833333333,1.6048412086,1.5602390745,1.4281725077,1.2122295745,0.9102414025,1.6048412086,0.00000000
12600.000000,3.5000000000,1.5996445544,1.5551979871,1.4235716385,1.2082740872,0.9070564679,1.5996445544,0.00000000
12660.000000,3.5166666667,1.5944712494,1.5501788925,1.4189883934,1.2043278514,0.9038771547,1.5944712494,0.00000000
12720.000000,3.5333333333,1.5893209447,1.5451812253,1.4144220202,1.2003945452,0.9006535788,1.5893209447,0.00000000
12780.000000,3.5500000000,1.5841931359,1.5402045454,1.4098733703,1.1964785872,0.8974620394,1.5841931359,0.00000000
12840.000000,3.5666666667,1.5790874439,1.5352488386,1.4053427399,1.1925733889,0.8943188789,1.5790874439,0.00000000
12900.000000,3.5833333333,1.5740037087,1.5303138714,1.4008285920,1.1886791846,0.8911965372,1.5740037087,0.00000000
12960.000000,3.6000000000,1.5689416215,1.5253991169,1.3963307275,1.1847988625,0.8880236509,1.5689416215,0.00000000
13020.000000,3.6166666667,1.5639007530,1.5205042761,1.3918502598,1.1809394706,0.8848283595,1.5639007530,0.00000000
13080.000000,3.6333333333,1.5588808597,1.5156296150,1.3873890970,1.1770987651,0.8817057425,1.5588808597,0.00000000
13140.000000,3.6500000000,1.5538821195,1.5107755954,1.3829462334,1.1732664741,0.8786022745,1.5538821195,0.00000000
13200.000000,3.6666666667,1.5489047541,1.5059419312,1.3785198253,1.1694482000,0.8754542476,1.5489047541,0.00000000
13260.000000,3.6833333333,1.5439485653,1.5011282397,1.3741109970,1.1656466709,0.8723481988,1.5439485653,0.00000000
13320.000000,3.7000000000,1.5390133412,1.4963346030,1.3697201047,1.1618583833,0.8692630301,1.5390133412,0.00000000
13380.000000,3.7166666667,1.5340990520,1.4915609859,1.3653462317,1.1580803789,0.8662235580,1.5340990520,0.00000000
13440.000000,3.7333333333,1.5292055828,1.4868070174,1.3609881392,1.1543117831,0.8631643587,1.5292055828,0.00000000
13500.000000,3.7500000000,1.5243325799,1.4820721406,1.3566458943,1.1505599164,0.8601150299,1.5243325799,0.00000000
13560.000000,3.7666666667,1.5194796082,1.4773562141,1.3523204205,1.1468207701,0.8570584614,1.5194796082,0.00000000
